Elapsed time,EKG
00:01:349:584,505
00:01:350:584,496
00:01:351:588,486
00:01:352:592,483
00:01:353:592,472
00:01:354:596,463
00:01:355:596,457
00:01:356:600,451
00:01:357:604,448
00:01:358:608,444
00:01:359:608,444
00:01:360:612,449
00:01:361:616,454
00:01:362:620,460
00:01:363:624,467
00:01:364:624,467
00:01:365:628,469
00:01:366:632,472
00:01:367:636,470
00:01:368:640,464
00:01:369:640,459
00:01:370:644,453
00:01:371:644,451
00:01:372:648,449
00:01:373:652,447
00:01:374:656,442
00:01:375:660,445
00:01:376:660,441
00:01:377:660,443
00:01:378:664,442
00:01:379:664,441
00:01:380:668,439
00:01:381:668,440
00:01:382:672,435
00:01:383:676,430
00:01:384:680,433
00:01:385:680,435
00:01:386:684,440
00:01:387:688,449
00:01:388:688,463
00:01:389:692,469
00:01:390:696,465
00:01:391:696,455
00:01:392:700,446
00:01:393:700,432
00:01:394:704,430
00:01:395:708,433
