Elapsed time,EMG
00:01:034:688,564
00:01:035:688,583
00:01:036:692,572
00:01:037:696,579
00:01:038:696,547
00:01:039:700,548
00:01:040:704,554
00:01:041:708,551
00:01:042:708,560
00:01:043:712,575
00:01:044:716,583
00:01:045:720,551
00:01:046:724,571
00:01:047:724,548
00:01:048:728,547
00:01:049:732,536
00:01:050:736,548
00:01:051:740,541
00:01:052:740,566
00:01:053:744,558
00:01:054:748,579
00:01:055:752,600
00:01:056:752,575
00:01:057:756,569
00:01:058:760,545
00:01:059:764,556
00:01:060:768,566
00:01:061:772,547
00:01:062:772,546
00:01:063:776,552
00:01:064:776,543
00:01:065:776,557
00:01:066:780,600
00:01:067:784,551
00:01:068:788,567
00:01:069:788,551
00:01:070:792,541
00:01:071:796,587
00:01:072:800,542
00:01:073:800,539
00:01:074:800,560
00:01:075:804,545
00:01:076:808,604
00:01:077:808,633
00:01:078:812,605
00:01:079:816,572
00:01:080:820,550
00:01:081:820,543
00:01:082:824,572
00:01:083:828,538
00:01:084:832,541
00:01:085:836,553
00:01:086:840,547
00:01:087:844,613
00:01:088:844,597
00:01:089:844,581
00:01:090:844,543
00:01:091:848,544
00:01:092:852,543
00:01:093:856,549
00:01:094:856,565
00:01:095:856,560
00:01:096:860,567
00:01:097:860,558
00:01:098:860,603
00:01:099:860,575
00:01:100:864,589
00:01:101:868,566
00:01:102:868,559
00:01:103:872,551
00:01:104:876,553
00:01:105:880,543
00:01:106:884,547
00:01:107:888,551
00:01:108:888,547
00:01:109:892,609
00:01:110:896,574
00:01:111:900,549
00:01:112:900,547
00:01:113:904,559
00:01:114:904,543
00:01:115:908,550
00:01:116:912,557
00:01:117:912,575
00:01:118:916,569
00:01:119:920,550
00:01:120:924,629
00:01:121:928,562
00:01:122:928,595
00:01:123:932,579
00:01:124:936,582
00:01:125:940,543
00:01:126:940,545
00:01:127:944,543
00:01:128:948,543
00:01:129:948,556
00:01:130:952,555
00:01:131:956,591
00:01:132:956,567
00:01:133:960,583
00:01:134:960,556
00:01:135:964,565
00:01:136:968,558
00:01:137:972,549
00:01:138:972,560
00:01:139:976,572
00:01:140:980,585
00:01:141:980,575
00:01:142:984,595
00:01:143:988,556
00:01:144:992,557
00:01:145:992,554
00:01:146:992,539
00:01:147:996,539
00:01:148:996,556
00:01:149:996,540
00:01:150:996,547
00:01:151:996,559
00:01:152:996,578
00:01:153:996,613
00:01:154:996,583
00:01:156:000,581
00:01:157:004,549
00:01:158:008,551
00:01:159:012,552
00:01:160:016,537
00:01:161:020,547
00:01:162:024,569
00:01:163:028,556
00:01:164:032,606
00:01:165:032,591
00:01:166:032,550
00:01:167:040,554
00:01:168:040,547
00:01:169:044,549
00:01:170:048,561
00:01:171:052,540
00:01:172:056,549
00:01:173:060,578
00:01:174:064,551
00:01:175:068,551
00:01:176:072,601
00:01:177:072,560
00:01:178:076,581
00:01:179:076,569
00:01:180:080,543
00:01:181:084,599
00:01:182:088,560
00:01:183:088,549
00:01:184:088,551
00:01:185:092,546
00:01:186:092,582
00:01:187:092,583
00:01:188:092,582
00:01:189:092,558
00:01:190:096,542
00:01:191:100,547
00:01:192:104,551
00:01:193:104,536
00:01:194:104,553
00:01:195:108,568
00:01:196:108,582
00:01:197:112,643
00:01:198:116,615
00:01:199:116,597
00:01:200:120,558
00:01:201:124,550
00:01:202:128,540
00:01:203:132,555
00:01:204:136,553
00:01:205:140,534
00:01:206:144,557
00:01:207:148,550
00:01:208:152,568
00:01:209:152,579
00:01:210:156,561
00:01:211:160,537
00:01:212:164,541
00:01:213:168,541
00:01:214:172,557
00:01:215:172,551
00:01:216:172,575
00:01:217:172,562
00:01:218:176,558
00:01:219:180,624
00:01:220:180,574
00:01:221:180,571
00:01:222:180,559
00:01:223:184,582
00:01:224:188,544
00:01:225:188,551
00:01:226:192,551
00:01:227:196,542
00:01:228:200,550
00:01:229:204,542
00:01:230:204,621
00:01:231:208,554
00:01:232:212,583
00:01:233:216,564
00:01:234:216,569
00:01:235:216,561
00:01:236:216,538
00:01:237:216,569
00:01:238:216,591
00:01:239:216,582
00:01:240:216,568
00:01:241:216,594
00:01:242:220,577
00:01:243:224,590
00:01:244:228,551
00:01:245:232,549
00:01:246:236,537
00:01:247:240,550
00:01:248:240,544
00:01:249:240,554
00:01:250:244,545
00:01:251:248,563
00:01:252:252,585
00:01:253:256,551
00:01:254:260,568
00:01:255:264,555
00:01:256:268,565
00:01:257:268,555
00:01:258:272,543
00:01:259:272,556
00:01:260:276,570
00:01:261:280,551
00:01:262:284,571
00:01:263:288,639
00:01:264:292,563
00:01:265:292,585
00:01:266:292,565
00:01:267:296,536
00:01:268:296,533
00:01:269:296,560
00:01:270:296,537
00:01:271:300,547
00:01:272:304,558
00:01:273:308,591
00:01:274:312,618
00:01:275:316,589
00:01:276:320,594
00:01:277:324,546
00:01:278:328,543
00:01:279:328,565
00:01:280:332,542
00:01:281:336,545
00:01:282:336,580
00:01:283:336,547
00:01:284:340,573
00:01:285:340,620
00:01:286:340,594
00:01:287:344,564
00:01:288:348,558
00:01:289:352,572
00:01:290:356,569
00:01:291:356,538
00:01:292:356,551
00:01:293:356,563
00:01:294:360,568
00:01:295:364,622
00:01:296:364,574
00:01:297:368,600
00:01:298:372,580
00:01:299:376,569
00:01:300:380,539
00:01:301:384,550
00:01:302:388,545
00:01:303:392,558
00:01:304:396,561
00:01:305:400,549
00:01:306:404,595
00:01:307:408,545
00:01:308:408,581
00:01:309:408,553
00:01:310:412,550
00:01:311:416,554
00:01:312:420,546
00:01:313:420,545
00:01:314:424,547
00:01:315:428,585
00:01:316:432,579
00:01:317:432,599
00:01:318:432,569
00:01:319:432,563
00:01:320:436,569
00:01:321:440,559
00:01:322:440,546
00:01:323:444,545
00:01:324:448,538
00:01:325:448,548
00:01:326:448,560
00:01:327:452,558
00:01:328:452,609
00:01:329:452,563
00:01:330:452,565
00:01:331:456,554
00:01:332:456,553
00:01:333:456,536
00:01:334:456,549
00:01:335:456,560
00:01:336:460,583
00:01:337:464,556
00:01:338:464,571
00:01:339:464,623
00:01:340:468,569
00:01:341:468,588
00:01:342:468,564
00:01:343:468,580
00:01:344:472,545
00:01:345:476,564
00:01:346:476,551
00:01:347:480,555
00:01:348:484,551
00:01:349:488,572
00:01:350:492,568
00:01:351:492,563
00:01:352:496,605
00:01:353:500,553
00:01:354:500,563
00:01:355:504,560
00:01:356:508,544
00:01:357:512,550
00:01:358:512,574
00:01:359:512,575
00:01:360:516,598
00:01:361:516,603
00:01:362:520,583
00:01:363:520,561
00:01:364:520,542
00:01:365:524,540
00:01:366:528,537
00:01:367:532,560
00:01:368:532,550
00:01:369:532,553
00:01:370:532,547
00:01:371:536,556
00:01:372:540,615
00:01:373:544,570
00:01:374:548,585
00:01:375:552,550
00:01:376:556,547
00:01:377:560,567
00:01:378:564,543
00:01:379:568,551
00:01:380:572,563
00:01:381:576,552
00:01:382:580,572
00:01:383:580,575
00:01:384:584,561
00:01:385:584,598
00:01:386:584,555
00:01:387:584,542
00:01:388:584,539
00:01:389:584,540
00:01:390:588,543
00:01:391:588,550
00:01:392:588,563
00:01:393:592,598
00:01:394:596,585
00:01:395:600,608
00:01:396:604,569
