Elapsed time,EKG
00:00:952:632,344
00:00:953:636,342
00:00:954:636,339
00:00:955:640,337
00:00:956:644,334
00:00:957:648,332
00:00:958:652,327
00:00:959:656,327
00:00:960:660,327
00:00:961:664,327
00:00:962:668,327
00:00:963:668,334
00:00:964:668,335
00:00:965:672,338
00:00:966:676,342
00:00:967:680,344
00:00:968:680,345
00:00:969:680,349
00:00:970:684,348
00:00:971:688,347
00:00:972:688,344
00:00:973:688,341
00:00:974:692,339
00:00:975:696,335
00:00:976:700,332
00:00:977:700,329
00:00:978:704,329
00:00:979:704,327
00:00:980:704,325
00:00:981:708,327
00:00:982:712,325
00:00:983:716,327
00:00:984:720,330
00:00:985:724,335
00:00:986:728,337
00:00:987:732,339
00:00:988:736,342
00:00:989:736,344
00:00:990:740,344
00:00:991:740,342
00:00:992:740,339
00:00:993:744,337
00:00:994:748,333
00:00:995:752,329
00:00:996:756,327
00:00:997:760,327
00:00:998:760,324
00:00:999:764,325
00:01:000:768,326
00:01:001:772,327
00:01:002:776,329
00:01:003:780,332
00:01:004:788,335
00:01:005:788,341
00:01:006:792,342
00:01:007:796,344
00:01:008:800,345
00:01:009:804,345
00:01:010:808,345
00:01:011:812,347
00:01:012:816,340
00:01:013:820,338
00:01:014:824,335
00:01:015:828,332
00:01:016:832,327
00:01:017:836,325
00:01:018:840,321
00:01:019:844,319
00:01:020:844,319
00:01:021:848,323
00:01:022:852,322
00:01:023:852,325
00:01:024:856,327
00:01:025:860,331
00:01:026:860,330
00:01:027:864,334
00:01:028:864,333
00:01:029:868,335
00:01:030:872,335
00:01:031:876,332
00:01:032:876,331
00:01:033:880,327
00:01:034:884,327
00:01:035:884,323
00:01:036:888,319
00:01:037:892,318
00:01:038:896,316
00:01:039:900,313
00:01:040:904,314
00:01:041:908,319
00:01:042:912,317
00:01:043:916,319
00:01:044:920,323
00:01:045:920,324
00:01:046:924,327
00:01:047:928,327
00:01:048:928,327
00:01:049:932,332
00:01:050:936,327
00:01:051:940,326
00:01:052:944,323
00:01:053:944,323
00:01:054:948,319
00:01:055:952,318
00:01:056:956,315
00:01:057:960,313
00:01:058:964,311
00:01:059:968,310
00:01:060:972,310
00:01:061:976,310
00:01:062:980,311
00:01:063:984,313
00:01:064:988,316
00:01:065:992,317
00:01:066:996,321
00:01:068:000,321
00:01:069:004,323
00:01:070:004,323
00:01:071:004,323
00:01:072:008,325
00:01:073:008,319
00:01:074:008,316
00:01:075:012,315
00:01:076:016,312
00:01:077:020,308
00:01:078:024,309
00:01:079:024,310
00:01:080:028,311
00:01:081:032,307
00:01:082:036,311
00:01:083:040,319
00:01:084:040,319
00:01:085:040,323
00:01:086:040,326
00:01:087:044,329
00:01:088:048,332
00:01:089:052,334
00:01:090:056,334
00:01:091:060,334
00:01:092:064,334
00:01:093:064,329
00:01:094:068,327
00:01:095:072,323
00:01:096:076,321
00:01:097:080,316
00:01:098:084,315
00:01:099:088,312
00:01:100:092,312
00:01:101:096,313
00:01:102:096,316
00:01:103:096,316
00:01:104:096,323
00:01:105:100,326
00:01:106:100,323
00:01:107:104,327
00:01:108:108,329
00:01:109:112,331
00:01:110:116,332
00:01:111:120,330
00:01:112:124,330
00:01:113:128,326
00:01:114:128,325
00:01:115:132,321
00:01:116:136,318
00:01:117:140,313
00:01:118:140,311
00:01:119:144,312
00:01:120:148,312
00:01:121:152,311
00:01:122:156,312
00:01:123:156,315
00:01:124:160,319
00:01:125:164,321
00:01:126:168,323
00:01:127:172,327
00:01:128:176,327
00:01:129:180,330
00:01:130:184,331
00:01:131:184,331
00:01:132:188,330
00:01:133:192,329
00:01:134:196,327
00:01:135:200,327
00:01:136:204,326
00:01:137:204,322
00:01:138:204,319
00:01:139:208,318
00:01:140:212,315
00:01:141:216,314
00:01:142:220,314
00:01:143:224,315
00:01:144:228,318
00:01:145:232,318
00:01:146:236,319
00:01:147:240,323
00:01:148:244,326
00:01:149:248,327
00:01:150:252,330
00:01:151:256,327
00:01:152:260,327
00:01:153:260,327
00:01:154:264,324
00:01:155:268,321
00:01:156:272,319
00:01:157:276,318
00:01:158:280,315
00:01:159:284,315
00:01:160:284,313
00:01:161:288,314
00:01:162:292,319
00:01:163:296,319
00:01:164:296,323
00:01:165:300,326
00:01:166:304,327
00:01:167:308,331
00:01:168:312,334
00:01:169:316,335
00:01:170:320,335
00:01:171:320,335
00:01:172:324,337
00:01:173:328,335
00:01:174:332,333
00:01:175:336,329
00:01:176:340,327
00:01:177:344,324
00:01:178:344,323
00:01:179:348,321
00:01:180:348,322
00:01:181:348,322
00:01:182:352,323
00:01:183:356,327
00:01:184:360,329
00:01:185:364,330
00:01:186:368,335
00:01:187:368,335
00:01:188:368,337
00:01:189:368,339
00:01:190:372,340
00:01:191:372,341
00:01:192:376,340
00:01:193:376,338
00:01:194:380,337
00:01:195:380,335
00:01:196:384,332
00:01:197:388,331
00:01:198:392,329
00:01:199:396,327
00:01:200:400,327
00:01:201:404,327
00:01:202:408,332
00:01:203:408,332
00:01:204:412,334
00:01:205:416,335
00:01:206:420,343
00:01:207:420,343
00:01:208:424,344
00:01:209:428,347
00:01:210:432,345
00:01:211:436,345
00:01:212:440,344
00:01:213:440,343
00:01:214:444,339
00:01:215:448,336
00:01:216:452,332
00:01:217:452,330
00:01:218:456,326
00:01:219:460,326
00:01:220:464,326
00:01:221:468,327
00:01:222:472,332
00:01:223:476,332
00:01:224:476,335
00:01:225:480,339
00:01:226:480,339
00:01:227:484,343
00:01:228:484,345
00:01:229:488,344
